"SWSN_ID","SWSN_Site","EASTING","NORTHING"
182,"AZ U:3:112 (ASM)",469191.852458164,3748714.96245974
183,"AZ U:3:113 (ASM)",476408.959344298,3737682.50470804
187,"AZ U:3:117 (ASM)",482975.141065389,3732412.39012109
193,"AZ U:3:128 (ASM)",481513.103031263,3745720.60806842
226,"AZ U:3:214 (ASM)",466812.116568804,3736630.58466347
232,"AZ U:3:232 (ASM)",461948.570046619,3755479.26311487
237,"AZ U:3:288 (ASM)",468205.307552636,3753151.21639916
239,"AZ U:30:65 (ASM)",485498.37691766,3744208.4412379
242,"AZ U:4:003 (ASM)",492632.366876855,3731368.1617164
243,"AZ U:4:005 (ASM)",500726.254345581,3738910.16620563
245,"AZ U:4:007 (ASM)",477497.326930434,3729629.21151721
247,"AZ U:4:009 (ASM)",483106.076974794,3747006.83808243
267,"AZ U:4:051 (ASM)",477437.030983761,3760503.37182337
275,"AZ U:4:061 (ASM)",466884.681474179,3742528.80829033
287,"AZ U:4:077 (ASM)",467599.507623434,3738781.71526195
288,"AZ U:4:085 (ASM)",493997.983019829,3743573.77100104
290,"AZ U:4:089 (ASM)",505444.77570425,3735963.319598
322,"AZ U:8:006 (ASM)",497252.629164055,3727112.00296202
334,"AZ U:8:038 (ASM)",490677.505955726,3713950.18740961
394,"AZ U:8:268 (ASM)",482620.216781914,3722737.32732141
438,"AZ U:8:400 (ASM)",480255.101045117,3734005.08318225
474,"AZ U:8:448 (ASM)",484085.888255268,3715590.23346359
